date,temperature,humidity,appliances,usage
2021-01-01 00:00:00,22.483570765056164,47.607268528481484,6,14.76685356409945
2021-01-01 01:00:00,19.308678494144075,64.78121226099483,5,20.16092975522026
2021-01-01 02:00:00,23.23844269050346,35.176032130042316,4,8.766072914698272
2021-01-01 03:00:00,27.61514928204013,42.486545303966295,5,7.385078736723642
2021-01-01 04:00:00,18.829233126383322,65.20091740991101,4,16.680251331790288
2021-01-01 05:00:00,18.8293152152541,51.31119324675147,3,17.99272295121737
2021-01-01 06:00:00,27.896064077536955,58.848425828011585,7,11.878942875525818
2021-01-01 07:00:00,23.837173645764544,70.51246943269463,6,16.42020159137572
2021-01-01 08:00:00,17.65262807032524,43.06195582098177,4,19.97679946952423
2021-01-01 09:00:00,22.712800217929825,49.00685662207968,9,28.212760844925604
2021-01-01 10:00:00,17.682911535937688,47.27573099069129,1,12.836095660317593
2021-01-01 11:00:00,17.671351232148716,30.454069955167245,1,13.48219242468647
2021-01-01 12:00:00,21.20981135783017,46.89603196244031,9,28.776840488306878
2021-01-01 13:00:00,10.43359877671101,58.81062187380665,7,32.561435525154515
2021-01-01 14:00:00,11.375410837434837,55.40589541812241,2,22.068891203712287
2021-01-01 15:00:00,17.188562353795135,56.1908316938801,5,23.571047079790283
2021-01-01 16:00:00,14.93584439832788,46.24491019360501,4,20.163986142658505
2021-01-01 17:00:00,21.571236662976368,43.43902763994359,1,5.454996250980313
2021-01-01 18:00:00,15.459879622393945,62.692556718986204,9,32.34175986287315
2021-01-01 19:00:00,12.938481493323543,45.0268285364233,6,31.019068179947812
2021-01-01 20:00:00,27.32824384460777,52.94082038793214,6,12.067545145812414
2021-01-01 21:00:00,18.871118497567323,51.633346806775386,4,16.71296601424902
2021-01-01 22:00:00,20.33764102343962,64.61717016257118,2,8.031490938566481
2021-01-01 23:00:00,12.876259068932717,59.714123576723594,8,34.41370061089315
2021-01-02 00:00:00,17.278086377374088,37.04741379332879,8,28.131119637181595
2021-01-02 01:00:00,20.55461294854933,38.1244683322496,3,13.321143592269129
2021-01-02 02:00:00,14.245032112888486,55.78909818069134,7,28.120027067242916
2021-01-02 03:00:00,21.87849009172836,49.35662352620834,7,21.601624408938367
2021-01-02 04:00:00,16.996806550405974,45.44828216046236,5,21.22593059851519
2021-01-02 05:00:00,18.541531251033618,60.156278839944704,5,17.751568647289364
2021-01-02 06:00:00,16.991466938853016,51.87459382088911,8,26.955671597620086
2021-01-02 07:00:00,29.261390922544688,50.52457386889444,4,2.5322901169009864
2021-01-02 08:00:00,19.93251387631033,57.7982864075505,1,8.168185233546517
2021-01-02 09:00:00,14.711445355220498,46.248910050564355,1,15.088256442462404
2021-01-02 10:00:00,24.112724560515943,65.68518985472554,9,24.104377792135228
2021-01-02 11:00:00,13.895781750144888,42.11952376766992,4,23.940167735283026
2021-01-02 12:00:00,21.044317975023777,56.56929066342088,1,5.729771908013067
2021-01-02 13:00:00,10.201649380601122,64.33832838659845,2,24.874826559469003
2021-01-02 14:00:00,13.359069755507846,36.227045107279,7,30.584665241374278
2021-01-02 15:00:00,20.984306179345616,46.566648241475505,2,10.719132104904725
2021-01-02 16:00:00,23.692332899977053,61.42207392885558,1,3.7408896530399023
